Observation,SAT
1,1190
2,1240
3,1120
4,1430
5,1370
6,1370
7,1280
8,1160
9,1360
10,1390
11,1030
12,1280
13,1300
14,1290
15,1350
16,1240
17,1280
18,1490
19,1340
20,1300
21,1160
22,1070
23,1210
24,1150
25,1210
26,1160
27,1280
28,1490
29,1310
30,1200
31,1000
32,1390
33,1300
34,1030
35,1250
36,1430
37,1250
38,1130
39,1180
40,1400
41,1480
42,1260
43,1380
44,1380
45,1160
46,1180
47,1420
48,1260
49,990
50,1240
51,1230
52,1130
53,1200
54,1070
55,1390
56,960
57,970
58,1060
59,1120
60,1330
61,1500
62,1300
63,910
64,1270
65,1260
66,1280
67,1130
68,1120
69,1290
70,960
71,1390
72,1390
73,1320
74,1400
75,1210
76,1340
77,990
78,1260
79,1080
80,990
81,1180
82,1210
83,1120
84,1220
85,1020
86,1060
87,960
88,1280
89,1270
90,1100
91,1210
92,1230
93,1600
94,1260
95,1450
96,1350
97,1130
98,1480
99,1150
100,1330
101,1140
102,1400
103,1010
104,1330
105,1220
106,1530
107,1170
108,1150
109,1440
110,1220
111,1160
112,970
113,1060
114,1190
115,990
116,840
117,1190
118,1340
119,1330
120,1340
121,1130
122,1250
123,1110
124,1090
125,1040
126,1270
127,1270
128,1260
129,1460
130,1080
131,1350
132,1050
133,1260
134,1380
135,1070